Rank,Source,Document,URL,Relevance Score,Unique Terms,Top Terms
1,Oregon Revised Statutes - Chapter 456,ORS_Chapter_456_Housing_Authorities.html,https://www.oregonlegislature.gov/bills_laws/ors/ors456.html,169,7,"MBE(149), equity(9), fair housing(3), Section 3(3), inclusion(2)"
2,Oregon Revised Statutes - Chapter 659A,ORS_Chapter_659A_Discrimination_Definitions_and_Procedures.html,https://www.oregonlegislature.gov/bills_laws/ors/ors659A.html,119,7,"MBE(101), affirmative action(7), protected class(4), fair housing(3), Section 3(2)"
3,Oregon Revised Statutes - Chapter 659,ORS_Chapter_659_Unlawful_Discrimination.html,https://www.oregonlegislature.gov/bills_laws/ors/ors659.html,102,2,"MBE(101), protected class(1)"
4,Oregon Revised Statutes - Chapter 279C,ORS_Chapter_279C_Public_Contracting___Construction.html,https://www.oregonlegislature.gov/bills_laws/ors/ors279C.html,101,10,"MBE(69), community benefit(12), diversity(6), equity(3), inclusion(3)"
5,Oregon Revised Statutes - Chapter 183,ORS_Chapter_183_Administrative_Procedures_Act.html,https://www.oregonlegislature.gov/bills_laws/ors/ors183.html,75,3,"MBE(72), equity(2), racial equity(1)"
6,Oregon Revised Statutes - Chapter 279A,ORS_Chapter_279A_Public_Contracting___General.html,https://www.oregonlegislature.gov/bills_laws/ors/ors279A.html,63,8,"MBE(26), protected class(10), minority-owned business(8), disadvantaged business enterprise(6), woman-owned business(6)"
7,Oregon Revised Statutes - Chapter 279B,ORS_Chapter_279B_Public_Contracting___Procurement.html,https://www.oregonlegislature.gov/bills_laws/ors/ors279B.html,26,4,"MBE(16), inclusion(5), equity(3), diversity(2)"
8,Oregon Administrative Rules - Chapter 813,OAR_Chapter_813_Housing_and_Community_Services.html,https://secure.sos.state.or.us/oard/displayDivisionRules.action?selectedDivision=813,11,1,MBE(11)
9,OHCS Public Housing,OHCS_Public_Housing.html,https://www.oregon.gov/ohcs/housing-assistance/Pages/public-housing.aspx,9,1,MBE(9)
10,OHCS Compliance,OHCS_Compliance.html,https://www.oregon.gov/ohcs/compliance-management/Pages/compliance.aspx,9,1,MBE(9)
11,DAS Procurement,DAS_Procurement.html,https://www.oregon.gov/das/procurement/pages/index.aspx,6,4,"equity(2), MBE(2), diversity(1), inclusion(1)"
12,BOLI Civil Rights,BOLI_Civil_Rights.html,https://www.oregon.gov/boli/civil-rights/Pages/default.aspx,3,2,"MBE(2), fair housing(1)"
13,Governor's Executive Order,eo-25-31.pdf.txt,https://www.oregon.gov/gov/eo/eo-25-31.pdf,2,1,MBE(2)
14,OHCS Homepage,OHCS_Homepage.html,https://www.oregon.gov/ohcs/pages/index.aspx,2,1,MBE(2)
15,BOLI Homepage,BOLI_Homepage.html,https://www.oregon.gov/boli/pages/index.aspx,2,1,MBE(2)
16,BOLI Employment Discrimination,BOLI_Employment_Discrimination.html,https://www.oregon.gov/boli/employers/Pages/employment-discrimination.aspx,2,1,MBE(2)
17,HUD Fair Housing Act,HUD_Fair_Housing_Act.html,https://www.hud.gov/program_offices/fair_housing_equal_opp/fair_housing_act_overview,2,1,fair housing(2)
