domain,doc_count,max_risk_score,top_urls,top_parsed_files,top_hits
www.raceforward.org,5,3,https://www.raceforward.org/sites/default/files/RacialJusticeImpactAssessment_v5.pdf | https://www.raceforward.org/sites/default/files/Race%20Reporting%20Guide%20by%20Race%20Forward_V1.1.pdf | https://www.raceforward.org/what-racial-equity,research_results/documents/parsed/ffb8b3c67a74866bc9b85c48b68e4bf0.txt | research_results/documents/parsed/c441d095b5efadcac83eadd5ad604240.txt | research_results/documents/parsed/a190e1e7829daedea88c07cffb922811.txt,inclusion; diversity; equity; equity plan; must; policy; required; statewide; standard; contract; hiring; procurement; training; housing; applicable to
www.racialequityalliance.org,4,2,https://www.racialequityalliance.org/home | https://www.racialequityalliance.org/wp-content/uploads/2015/10/gare-racial_equity_toolkit.pdf | https://www.racialequityalliance.org/resources/public-sector-jobs-,research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt | research_results/documents/parsed/24cbe0113967a4f6725bb7683d5ad024.txt | research_results/documents/parsed/c03fa557fce41394cb3254c013c5736b.txt,equity; policy; housing
belonging.berkeley.edu,2,2,https://belonging.berkeley.edu/targeted-universalism | https://belonging.berkeley.edu/,research_results/documents/parsed/f220833a1ebb227c820ffdcc641e2779.txt | research_results/documents/parsed/e1ab2e335f7e813fd3cfbd5c10ab62b6.txt,inclusion; diversity; equity; must; policy; procurement; training; housing; hiring
www.opportunityagenda.org,1,2,https://opportunityagenda.org/,research_results/documents/parsed/bf83699c0a4f2001dd2920dd6d60b502.txt,equity; policy; training
www.osba.org,1,2,https://www.osba.org/,research_results/documents/parsed/07815e32e695fa0202bb1b593746c401.txt,equity; policy; required; hiring; procurement; training; housing
oregonbuys.gov,1,2,https://oregonbuys.gov:443/bso/,research_results/documents/parsed/f6741790087ba13efcf09ff18aaee9d6.txt,inclusion; diversity; shall; required; contract; procurement; housing
youtu.be,4,0,https://www.youtube.com/watch?v=hDXQdcQ0InU&feature=youtu.be | https://www.youtube.com/watch?v=AcX7vmL6pPc&feature=youtu.be | https://www.youtube.com/?feature=youtu.be,research_results/documents/parsed/9c5b986feef96c0eff29c2fb4d2f4aeb.txt | research_results/documents/parsed/72452bef644dc6379e166efa8730a402.txt | research_results/documents/parsed/95c63fdf066dde780c9aa043c6292579.txt,policy; training
sos.oregon.gov,4,0,https://sos.oregon.gov/audits/Pages/stateaudits.aspx | https://sos.oregon.gov/voting/Pages/drop-box-locator.aspx | https://sos.oregon.gov/business/Pages/apostille.aspx,research_results/documents/parsed/dfb92c0fbce43f49713c9bdee73a921b.txt | research_results/documents/parsed/e1107f33d362b88c5757c2d7d4f1abea.txt | research_results/documents/parsed/24317d7e02e5e73e45cc19e5b4bc8182.txt,housing; statewide
www.hudexchange.info,3,0,https://www.hudexchange.info/homelessness-assistance/ | https://www.hudexchange.info/ | https://files.hudexchange.info/resources/documents/HomelessDefinition_RecordkeepingRequirementsandCriteria.pdf,research_results/documents/parsed/b8db36676c4c140396b695f791f8e0b9.txt | research_results/documents/parsed/5b94e8a5df0af6d0ee9bdeaa10261e5e.txt | research_results/documents/parsed/c6a05a0f4e6c2b828b90061d477fc6c0.txt,policy; standard; hiring; procurement; training; housing; must; agreement
www.google.com,3,0,https://www.gstatic.com/charts/loader.js | http://www.google.com/ | https://www.google.com/,research_results/documents/parsed/de030a0d5975e90c1b9a84e6bf00f918.txt | research_results/documents/parsed/ff90821feeb2b02a33a6f9fc8e5f3fcd.txt | research_results/documents/parsed/d75277cdffef995a46ae59bdaef1db86.txt,must; policy; housing
immigrationhistory.org,2,0,https://immigrationhistory.org/item/page-act/ | https://immigrationhistory.org/,research_results/documents/parsed/99dcf3d5449817538f56e3cd23ec5fc1.txt | research_results/documents/parsed/a11f4770e29e1aa6db299b300fe149aa.txt,agreement; shall; standard; contract; required; hiring; procurement
restorativejustice.org,2,0,https://restorativejustice.org/what-is-restorative-justice/ | https://restorativejustice.org/,research_results/documents/parsed/bcb680272f5d9ea076d621ded3061763.txt | research_results/documents/parsed/ce1173050faddc89621200959d54906c.txt,
www.hudhre.info,1,0,https://www.sttimothyswilson.org/worship,research_results/documents/parsed/8c21469e1d654a8bbc0bf84492c7aa71.txt,policy; housing
oregonencyclopedia.org,1,0,https://www.oregonencyclopedia.org/articles/blacks_in_oregon/,research_results/documents/parsed/121df9a7bd9e7fb132e4cbd006e418fd.txt,statewide; contract; must; policy; required; hiring; procurement; training; housing
www.oregonencyclopedia.org,1,0,https://www.oregonencyclopedia.org/,research_results/documents/parsed/3d5bde53de69554f6a3a0fffa1a0ca00.txt,training
ogp.me,1,0,https://ogp.me/,research_results/documents/parsed/c79073ad28f6e6b357996a771378cc0c.txt,agreement; required; housing
www.aiim.org,1,0,https://www.aiim.org/,research_results/documents/parsed/937374b235c61ee1f6081afde70f0ce0.txt,policy; procurement; training; housing
