domain,url,final_url,status,http_status,content_type,bytes,saved_path,error
www.oregonmetro.gov,https://www.oregonmetro.gov/sites/default/files/2023/04/25/Housing-Bond-Quarterly-Progress-Report_Q1-JAN_MAR_2023_Final_wFinancials_StaffReports.pdf,https://www.oregonmetro.gov/sites/default/files/2023/04/25/Housing-Bond-Quarterly-Progress-Report_Q1-JAN_MAR_2023_Final_wFinancials_StaffReports.pdf,error,404,text/html; charset=UTF-8,0,,http_404
www.oregonmetro.gov,https://www.oregonmetro.gov/sites/default/files/2025-10/affordable-housing-bond-oversight-committee-meeting-packet-20250317.pdf,https://www.oregonmetro.gov/sites/default/files/2025-10/affordable-housing-bond-oversight-committee-meeting-packet-20250317.pdf,error,200,application/pdf,0,,too_large_content_length:18570789
acousticalsociety.org,https://acousticalsociety.org/wp-content/uploads/2025/03/ASA-Briefing.pdf,https://acousticalsociety.org/wp-content/uploads/2025/03/ASA-Briefing.pdf,ok,200,application/pdf,8539841,research_results/third_party_downloads/acousticalsociety.org/acousticalsociety.org_wp-content_uploads_2025_03_ASA-Briefing.pdf,
d1u7huky9c51vj.cloudfront.net,https://d1u7huky9c51vj.cloudfront.net/wp-content/uploads/2024/06/04213626/Impact-Statements-2022-Revised-reduced.pdf,https://d1u7huky9c51vj.cloudfront.net/wp-content/uploads/2024/06/04213626/Impact-Statements-2022-Revised-reduced.pdf,ok,200,application/pdf,2224087,research_results/third_party_downloads/d1u7huky9c51vj.cloudfront.net/d1u7huky9c51vj.cloudfront.net_wp-content_uploads_2024_06_04213626_Impact-Statements-2022-Revised-reduced.pdf,
democrats-science.house.gov,https://democrats-science.house.gov/imo/media/doc/democratic_staff_report-defending_hidden_figures.pdf,https://democrats-science.house.gov/imo/media/doc/democratic_staff_report-defending_hidden_figures.pdf,ok,200,application/pdf,1168324,research_results/third_party_downloads/democrats-science.house.gov/democrats-science.house.gov_imo_media_doc_democratic_staff_report-defending_hidden_figures.pdf,
futurumcareers.com,https://futurumcareers.com/Issue-09.pdf,https://futurumcareers.com/Issue-09.pdf,ok,200,application/pdf,12681639,research_results/third_party_downloads/futurumcareers.com/futurumcareers.com_Issue-09.pdf,
nsf-gov-resources.nsf.gov,https://nsf-gov-resources.nsf.gov/2021-12/Reimagining%20Advanced%20Research%20for%20Human%20Good%20through%20Industry%20and%20Educational%20Partnerships_2119846_June%202021_Final_508.pdf,https://nsf-gov-resources.nsf.gov/2021-12/Reimagining%20Advanced%20Research%20for%20Human%20Good%20through%20Industry%20and%20Educational%20Partnerships_2119846_June%202021_Final_508.pdf,ok,200,application/pdf,5080326,research_results/third_party_downloads/nsf-gov-resources.nsf.gov/nsf-gov-resources.nsf.gov_2021-12_Reimagining_20Advanced_20Research_20for_20Human_20Good_20through_20Industry_20and_20Ed_07dbd2c478,
wshfc.org,https://wshfc.org/managers/Reports/TCReports/2025%20TC%20ReportTypesbyPropertyName.pdf,https://wshfc.org/managers/Reports/TCReports/2025%20TC%20ReportTypesbyPropertyName.pdf,ok,200,application/pdf,432249,research_results/third_party_downloads/wshfc.org/wshfc.org_managers_Reports_TCReports_2025_20TC_20ReportTypesbyPropertyName.pdf,
www.kiscolawfirm.com,https://www.kiscolawfirm.com/wp-content/uploads/sites/1504051/2020/03/Sorblum-vs-Carrollwood-Condominum-I.pdf,https://www.kiscolawfirm.com/wp-content/uploads/sites/1504051/2020/03/Sorblum-vs-Carrollwood-Condominum-I.pdf,ok,200,application/pdf,392326,research_results/third_party_downloads/www.kiscolawfirm.com/www.kiscolawfirm.com_wp-content_uploads_sites_1504051_2020_03_Sorblum-vs-Carrollwood-Condominum-I.pdf,
www.lse.ac.uk,https://www.lse.ac.uk/tii/assets/documents/The-City-Quantum-Summit-TII-Report.pdf,https://www.lse.ac.uk/tii/assets/documents/The-City-Quantum-Summit-TII-Report.pdf,ok,200,application/pdf,2359561,research_results/third_party_downloads/www.lse.ac.uk/www.lse.ac.uk_tii_assets_documents_The-City-Quantum-Summit-TII-Report.pdf,
www.oregon.gov,https://www.oregon.gov/biz/Publications/Broadband/ORDigitalEquityPlan.pdf,https://www.oregon.gov/biz/Publications/Broadband/ORDigitalEquityPlan.pdf,ok,200,application/pdf,10587140,research_results/third_party_downloads/www.oregon.gov/www.oregon.gov_biz_Publications_Broadband_ORDigitalEquityPlan.pdf,
